year	aysm	contig	ally	sq	dema	demb	disp	py
1948	0.98994	0	0	-0.915249	-1	-9	0	2
1948	0.948336	0	0	0.295389	10	-5	0	2
1948	0.707142	1	0	-0.219641	10	10	0	2
1948	0.983806	0	0	-0.915249	-8	10	0	2
1948	0.718428	0	0	0.497738	10	-7	0	2
1948	0.954917	1	1	0.983816	-6	10	0	2
1948	0.931564	0	0	0.289001	10	10	0	2
1948	0.858629	1	0	-0.923384	10	-6	0	2
1948	0.829207	0	0	0.230068	10	8	0	2
1948	0.975546	1	0	0.115868	10	-9	0	2
1948	0.984567	0	0	0.159854	10	10	0	2
1948	0.878669	0	0	0.232904	10	10	0	2
1948	0.87721	1	0	0.0737951	10	4	0	2
1948	0.979544	1	0	0.288683	-5	10	0	2
1948	0.922781	1	0	0.978787	1	-10	1	2
1948	0.952826	0	0	0.537437	-10	10	0	2
1948	0.793137	1	1	0.682513	-4	10	0	2
1948	0.988039	0	0	0.105487	-9	5	0	2
1948	0.949985	0	0	0.225517	10	10	0	2
1948	0.927513	0	0	-0.209971	-3	10	0	2
1948	0.877553	0	0	-0.915249	10	2	0	2
1948	0.997039	0	0	0.403913	-10	-9	0	2
1948	0.909184	1	0	0.0493007	10	-1	0	1
1948	0.73385	0	0	0.384123	10	1	0	2
1948	0.898499	0	0	0.0600168	10	10	0	2
1948	0.964373	0	0	-0.293852	1	10	0	2
1948	0.978177	0	0	0.15714	10	8	0	2
1948	0.984872	1	0	0.0901159	10	-10	0	2
1948	0.4892	1	1	1	-5	2	0	2
1948	0.969109	0	0	-0.915249	2	-9	0	2
1948	0.954928	0	0	0.213412	10	-9	0	2
1948	0.998544	0	0	-0.274063	-10	10	0	2
1948	0.998073	0	1	0.983816	-8	10	0	2
1948	0.997951	0	0	-0.923384	10	-3	0	2
1948	0.528776	1	1	0.690366	-1	-4	0	2
1948	0.42003	1	1	1	2	-1	0	2
1948	0.763046	1	0	-0.923384	10	7	0	2
1948	0.962016	0	0	-0.394143	10	-7	0	1
1948	0.957199	1	0	0.0753491	-9	-5	0	2
